Date,Price
9/17/2014,2001.57
9/18/2014,2011.36
9/19/2014,2010.4
9/22/2014,1994.29
9/23/2014,1982.77
9/24/2014,1998.3
9/25/2014,1965.99
9/26/2014,1982.85
9/29/2014,1977.8
9/30/2014,1972.29
10/1/2014,1946.16
10/2/2014,1946.17
10/3/2014,1967.9
10/6/2014,1964.82
10/7/2014,1935.1
10/8/2014,1968.89
10/9/2014,1928.21
10/10/2014,1906.13
10/13/2014,1874.74
10/14/2014,1877.7
10/15/2014,1862.49
10/16/2014,1862.76
10/17/2014,1886.76
10/20/2014,1904.01
10/21/2014,1941.28
10/22/2014,1927.11
10/23/2014,1950.82
10/24/2014,1964.58
10/27/2014,1961.63
10/28/2014,1985.05
10/29/2014,1982.3
10/30/2014,1994.65
10/31/2014,2018.05
11/3/2014,2017.81
11/4/2014,2012.1
11/5/2014,2023.57
11/6/2014,2031.21
11/7/2014,2031.92
11/10/2014,2038.26
11/11/2014,2039.68
11/12/2014,2038.25
11/13/2014,2039.33
11/14/2014,2039.82
11/17/2014,2041.32
11/18/2014,2051.8
11/19/2014,2048.72
11/20/2014,2052.75
11/21/2014,2063.5
11/24/2014,2069.41
11/25/2014,2067.03
11/26/2014,2072.83
11/28/2014,2067.56
12/1/2014,2053.44
12/2/2014,2066.55
12/3/2014,2074.33
12/4/2014,2071.92
12/5/2014,2075.37
12/8/2014,2060.31
12/9/2014,2059.82
12/10/2014,2026.14
12/11/2014,2035.33
12/12/2014,2002.33
12/15/2014,1989.63
12/16/2014,1972.74
12/17/2014,2012.89
12/18/2014,2061.23
12/19/2014,2070.65
12/22/2014,2078.54
12/23/2014,2082.17
12/24/2014,2081.88
12/26/2014,2088.77
12/29/2014,2090.57
12/30/2014,2080.35
12/31/2014,2058.9
1/2/2015,2058.2
1/5/2015,2020.58
1/6/2015,2002.61
1/7/2015,2025.9
1/8/2015,2062.14
1/9/2015,2044.81
1/12/2015,2028.26
1/13/2015,2023.03
1/14/2015,2011.27
1/15/2015,1992.67
1/16/2015,2019.42
1/20/2015,2022.55
1/21/2015,2032.12
1/22/2015,2063.15
1/23/2015,2051.82
1/26/2015,2057.09
1/27/2015,2029.55
1/28/2015,2002.16
1/29/2015,2021.25
1/30/2015,1994.99
2/2/2015,2020.85
2/3/2015,2050.03
2/4/2015,2041.51
2/5/2015,2062.52
2/6/2015,2055.47
2/9/2015,2046.74
2/10/2015,2068.59
2/11/2015,2068.53
2/12/2015,2088.48
2/13/2015,2096.99
2/17/2015,2100.34
2/18/2015,2099.68
2/19/2015,2097.45
2/20/2015,2110.3
2/23/2015,2109.66
2/24/2015,2115.48
2/25/2015,2113.86
2/26/2015,2110.74
2/27/2015,2104.5
3/2/2015,2117.39
3/3/2015,2107.78
3/4/2015,2098.53
3/5/2015,2101.04
3/6/2015,2071.26
3/9/2015,2079.43
3/10/2015,2044.16
3/11/2015,2040.24
3/12/2015,2065.95
3/13/2015,2053.4
3/16/2015,2081.19
3/17/2015,2074.28
3/18/2015,2099.5
3/19/2015,2089.27
